what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1317178424907
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317178426528
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317178430706
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317178431538
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317178434064
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317178694499
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.maximizePart",1317178696789
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1317178698154
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1317178709965
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317178710258
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.100.v201101252155,"org.eclipse.jst.ws.jaxws.dom.integration",1317178711629
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1317178711642
started,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1317178711689
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317178711735
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317178734643
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317178742941
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1317178751576
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1317178817092
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317178818333
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317178818789
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317178823526
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1317178870867
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317178874358
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317178892705
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1317178899149
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1317178908387
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317178911038
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317178916279
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317178917934
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317178920192
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317178929093
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317178932636
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1317178935527
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317178935939
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317178942502
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317178957252
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1317178964193
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1317178966791
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317178970184
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317178980796
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317178980867
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317178984017
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317178990738
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317178990811
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317178991569
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317178999277
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317178999339
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317179000658
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317179083956
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1317179096488
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1317179159693
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317179277027
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317179280112
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317179282018
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317179286910
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317179340438
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1317179358887
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317179380545
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317179384566
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317179385259
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317179390576
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317179409675
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317179455112
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317179455974
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317179478227
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317179484127
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317179487566
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317179497416
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317179498229
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317179498790
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317179499746
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317179510880
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317179578773
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1317179599389
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1317179609335
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1317179615061
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1317179618123
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1317179637982
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1317179638862
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317179645765
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1317179714393
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317179732802
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317179762132
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317179799453
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317179811927
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1317179813827
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317179815520
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317179836208
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317179839808
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317179841202
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317179847571
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317179857082
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317179864982
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317179865927
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317179866970
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317179868099
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317179873236
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1317179877826
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317179879219
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317179911794
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317179916320
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317179917369
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317179918343
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317179925342
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1317179929931
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1317179935772
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1317179936485
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1317179937119
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1317179938011
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1317179939206
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317179946631
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317179965927
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317179971131
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317180004353
