highest/JJS body/NN in/IN elected/VBN officials/NNS
great/JJ danger/NN in/IN diminishing/VBG the/DT
fundamental/JJ principle/NN in/IN that/DT constitution/NN
strong/JJ support/NN in/IN this/DT balanced/JJ
the/DT chairman/NN in/IN the/DT committee/NN
the/DT committee/NN in/IN standards/NNS on/IN
process/NN changes/NNS in/IN this/DT magnitude/NN
careful/JJ consideration/NN in/IN a/DT bipartisan/JJ
rules/NNS changes/NNS in/IN ethics/NNS on/IN
the/DT committee/NN in/IN ethics/NNS reform/NN
bipartisan/JJ agreement/NN in/IN the/DT committee/NN
the/DT committee/NN in/IN standards/NNS in/IN
in/IN standards/NNS in/IN official/JJ conduct/NN
is/VBZ based/VBN in/IN a/DT nonpartisan/JJ
the/DT behavior/NN in/IN an/DT individual/JJ
a/DT committee/NN in/IN standards/NNS in/IN
in/IN standards/NNS in/IN official/JJ conduct/NN
the/DT confidence/NN in/IN the/DT people/NNS
on/IN support/NN in/IN this/DT rules/NNS
the/DT beginning/NN in/IN what/WP historians/NNS
everexpanding/VBG coalition/NN in/IN the/DT willing/JJ
opportunity/NN society/NN in/IN economic/JJ choice/NN
the/DT institution/NN in/IN marriage/NN to/TO
the/DT role/NN in/IN family/NN and/CC
my/PRP$ friends/NNS in/IN the/DT other/JJ
votes/NNS certain/JJ in/IN defeat/NN to/TO
all/DT members/NNS in/IN the/DT minority/NN
with/IN all/DT in/IN the/DT gratitude/NN
the/DT source/NN in/IN the/DT honor/NN
some/DT members/NNS in/IN the/DT house/NN
a/DT committee/NN in/IN committees/NNS was/VBD
the/DT input/NN in/IN any/DT democrats/NNS
addressing/VBG aspects/NNS in/IN homeland/NN security/NN
say/VB that/IN in/IN this/DT question/NN
the/DT committee/NN in/IN rules/NNS the/DT
the/DT moment/NN in/IN greatest/JJS peril/NN
that/IN one/CD in/IN the/DT first/JJ
the/DT work/NN in/IN this/DT congress/NN
the/DT work/NN in/IN the/DT house/NN
all/DT in/IN the/DT ideas/NNS
considered/VBN judgment/NN in/IN our/PRP$ colleagues/NNS
the/DT house/NN in/IN representatives/NNS for/IN
a/DT review/NN in/IN federal/JJ programs/NNS
the/DT event/NN in/IN catastrophic/JJ circumstances/NNS
clause/NN a/DT in/IN rule/NN xx/NN
on/IN calls/NNS in/IN the/DT house/NN
majority/NN leaders/NNS in/IN the/DT contents/NNS
the/DT contents/NNS in/IN such/JJ report/NN
or/CC series/NN in/IN calls/NNS are/VBP
the/DT provisions/NNS in/IN the/DT senate/NN
concurrent/JJ resolution/NN in/IN the/DT th/NN
with/IN suspensions/NNS in/IN Wednesday/NNP of/IN
large/JJ numbers/NNS in/IN members/NNS are/VBP
both/DT sides/NNS in/IN the/DT aisle/NN
the/DT presumption/NN in/IN innocence/NN of/IN
the/DT creation/NN in/IN a/DT new/JJ
standing/NN committee/NN in/IN homeland/NN security/NN
the/DT department/NN in/IN homeland/NN security/NN
the/DT hands/NNS in/IN the/DT speaker/NN
would/MD infringe/VB in/IN that/DT power/NN
new/JJ committee/NN in/IN homeland/NN security/NN
has/VBZ shown/VBN in/IN this/DT and/CC
from/IN two/CD in/IN my/PRP$ committee/NN
the/DT behavior/NN in/IN members/NNS in/IN
in/IN members/NNS in/IN this/DT institution/NN
the/DT midst/NN in/IN a/DT discussion/NN
standing/NN committee/NN in/IN homeland/NN security/NN
the/DT integrity/NN in/IN this/DT institution/NN
the/DT politicization/NN in/IN the/DT ethics/NNS
first/JJ orders/NNS in/IN business/NN in/IN
in/IN business/NN in/IN the/DT th/NN
the/DT officers/NNS in/IN the/DT house/NN
their/PRP$ perspectives/NNS in/IN the/DT kinds/NNS
speaker/NN all/DT in/IN the/DT ideals/NNS
considered/VBN judgment/NN in/IN our/PRP$ colleagues/NNS
to/TO elaborate/VB in/IN just/RB a/DT
a/DT number/NN in/IN instances/NNS where/WRB
the/DT designation/NN in/IN leadership/NN members/NNS
leadership/NN members/NNS in/IN the/DT budget/NN
allow/VB flexibility/NN in/IN our/PRP$ schedules/NNS
large/JJ numbers/NNS in/IN members/NNS are/VBP
our/PRP$ traditions/NNS in/IN dignity/NN and/CC
as/IN each/DT in/IN those/DT changes/NNS
the/DT creation/NN in/IN a/DT new/JJ
a/DT system/NN in/IN purposeful/JJ redundancy/NN
one/CD level/NN in/IN oversight/NN and/CC
the/DT competition/NN in/IN ideas/NNS is/VBZ
consolidate/VB jurisdiction/NN in/IN the/DT house/NN
surgical/JJ addresses/NNS in/IN homeland/NN security/NN
the/DT committee/NN in/IN homeland/NN security/NN
the/DT basis/NN in/IN overall/JJ homeland/NN
the/DT jurisdiction/NN in/IN that/DT committee/NN
select/JJ committee/NN in/IN intelligence/NN shall/MD
intelligencerelated/JJ activities/NNS in/IN all/DT departments/NNS
and/CC agencies/NNS in/IN the/DT federal/JJ
the/DT office/NN in/IN the/DT director/NN
the/DT committee/NN in/IN homeland/NN security/NN
the/DT committee/NN in/IN homeland/NN security/NN
the/DT department/NN in/IN transportation/NN having/VBG
section/NN b/NN in/IN the/DT homeland/NN
security/NN act/NN in/IN and/CC includes/VBZ
and/CC ports/NNS in/IN entry/NN and/CC
the/DT secretary/NN in/IN the/DT treasury/NN
the/DT secretary/NN in/IN homeland/NN security/NN
security/NN act/NN in/IN
the/DT secretary/NN in/IN the/DT treasury/NN
to/TO paragraph/NN in/IN this/DT delegation/NN
the/DT secretary/NN in/IN the/DT treasury/NN
valuation/NN application/NN in/IN the/DT us/PRP
the/DT establishment/NN in/IN recordkeeping/NN requirements/NNS
the/DT secretary/NN in/IN the/DT treasury/NN
tariff/NN act/NN in/IN as/IN amended/VBN
the/DT secretary/NN in/IN homeland/NN security/NN
the/DT secretary/NN in/IN the/DT treasury/NN
tariff/NN act/NN in/IN as/RB amended/VBN
s/VBZ exercise/NN in/IN such/JJ authority/NN
a/DT copy/NN in/IN these/DT identifications/NNS
the/DT secretary/NN in/IN homeland/NN security/NN
the/DT secretary/NN in/IN homeland/NN security/NN
ranking/JJ member/NN in/IN the/DT committee/NN
ranking/JJ member/NN in/IN the/DT committee/NN
this/DT delegation/NN in/IN authority/NN to/TO
the/DT secretary/NN in/IN homeland/NN security/NN
the/DT secretary/NN in/IN the/DT treasury/NN
security/NN act/NN in/IN dated/JJ February/NNP
state/NN house/NN in/IN representatives/NNS after/IN
a/DT weakening/NN in/IN our/PRP$ government/NN
of/IN pursuit/NN in/IN political/JJ parity/NN
a/DT lack/NN in/IN followthrough/JJ to/TO
spin/VB out/RP in/IN control/NN
think/VB some/DT in/IN the/DT recommendations/NNS
the/DT code/NN in/IN official/JJ conduct/NN
each/DT in/IN us/PRP on/IN
fact/NN all/DT in/IN us/PRP individually/RB
the/DT deletion/NN in/IN the/DT amendment/NN
of/IN standards/NNS in/IN official/JJ conduct/NN
bipartisan/JJ vote/NN in/IN to/TO an/DT
automatic/JJ dismissal/NN in/IN any/DT complaint/NN
time/NN limit/NN in/IN the/DT life/NN
opening/NN day/NN in/IN a/DT new/JJ
the/DT maintenance/NN in/IN the/DT status/NN
rule/NN xi/NNS in/IN the/DT rules/NNS
the/DT committee/NN in/IN armed/JJ services/NNS
the/DT chairman/NN in/IN the/DT committee/NN
the/DT house/NN in/IN representatives/NNS
the/DT transaction/NN in/IN business/NN including/VBG
the/DT markup/NN in/IN legislation/NN conducted/VBN
or/CC meeting/NN in/IN that/DT day/NN
or/CC rule/NN in/IN the/DT house/NN
the/DT requirements/NNS in/IN the/DT preceding/VBG
two/CD members/NNS in/IN the/DT committee/NN
a/DT member/NN in/IN the/DT committee/NN
clause/NN g/NN in/IN rule/NN xi/NNS
rule/NN xi/NNS in/IN the/DT rules/NNS
the/DT house/NN in/IN representatives/NNS such/JJ
majority/NN vote/NN in/IN those/DT present/JJ
a/DT majority/NN in/IN those/DT present/JJ
two/CD members/NNS in/IN the/DT committee/NN
a/DT member/NN in/IN that/DT member/NN
the/DT provisions/NNS in/IN rule/NN a/DT
the/DT house/NN in/IN representatives/NNS no/DT
any/DT hearing/NN in/IN the/DT committee/NN
the/DT house/NN in/IN representatives/NNS shall/MD
for/IN purposes/NNS in/IN a/DT particular/JJ
particular/JJ article/NN in/IN legislation/NN or/CC
particular/JJ subject/NN in/IN investigation/NN to/TO
consecutive/JJ days/NNS in/IN hearings/NNS
b/NN onethird/NN in/IN the/DT members/NNS
a/DT majority/NN in/IN the/DT committee/NN
the/DT issuance/NN in/IN subpoenas/NNS authorizing/VBG
the/DT use/NN in/IN executive/NN session/NN
of/IN order/NN in/IN seniority/NN
of/IN order/NN in/IN their/PRP$ arrival/NN
the/DT ratio/NN in/IN the/DT majority/NN
the/DT order/NN in/IN recognition/NN for/IN
the/DT purpose/NN in/IN carrying/VBG out/RP
out/RP any/DT in/IN its/PRP$ functions/NNS
and/CC xi/FW in/IN the/DT rules/NNS
the/DT house/NN in/IN representatives/NNS the/DT
subparagraph/VB b/NN in/IN this/DT paragraph/NN
and/CC testimony/NN in/IN such/JJ witnesses/NNS
the/DT production/NN in/IN such/JJ books/NNS
on/IN advance/NN in/IN presentation/NN and/CC
of/IN advance/NN in/IN presentation/NN
a/DT classification/NN in/IN secret/JJ or/CC
all/DT members/NNS in/IN the/DT committee/NN
on/IN advance/NN in/IN presentation/NN however/RB
written/VBN statement/NN in/IN the/DT proposed/VBN
the/DT end/NN in/IN the/DT record/NN
the/DT event/NN in/IN a/DT vote/NN
necessary/JJ absence/NN in/IN that/DT member/NN
the/DT time/NN in/IN approval/NN on/IN
of/IN session/NN in/IN such/JJ days/NNS
record/NN vote/NN in/IN a/DT motion/NN
brief/JJ description/NN in/IN the/DT question/NN
no/DT point/NN in/IN order/NN shall/MD
that/WDT hearings/NNS in/IN such/JJ measure/NN
the/DT provisions/NNS in/IN the/DT rules/NNS
a/DT point/NN in/IN order/NN in/IN
in/IN order/NN in/IN that/DT ground/NN
any/DT member/NN in/IN the/DT committee/NN
clause/NN g/NN in/IN rule/NN xi/NNS
rule/NN xi/NNS in/IN the/DT rules/NNS
the/DT rules/NNS in/IN the/DT house/NN
the/DT house/NN in/IN representatives/NNS all/DT
the/DT chairman/NN in/IN the/DT committee/NN
the/DT approval/NN in/IN a/DT majority/NN
a/DT majority/NN in/IN the/DT committee/NN
unauthorized/JJ disclosure/NN in/IN any/DT national/JJ
the/DT rules/NNS in/IN the/DT house/NN
the/DT house/NN in/IN representatives/NNS the/DT
the/DT records/NNS in/IN the/DT committee/NN
the/DT rules/NNS in/IN the/DT house/NN
the/DT vote/NN in/IN the/DT ethics/NNS
the/DT spirit/NN in/IN the/DT us/PRP
small/JJ group/NN in/IN members/NNS to/TO
the/DT powers/NNS in/IN a/DT majority/NN
the/DT work/NN in/IN the/DT house/NN
be/VB deprived/VBN in/IN their/PRP$ rights/NNS
quorum/NN consists/VBZ in/IN a/DT majority/NN
on/IN members/NNS in/IN the/DT house/NN
a/DT minority/NN in/IN the/DT house/NN
another/DT member/NN in/IN the/DT house/NN
