of/IN matters/NNS on/IN constitutionality/NN
regarding/VBG governance/NN on/IN the/DT department/NN
the/DT department/NN on/IN homeland/NN security/NN
every/DT activity/NN on/IN the/DT department/NN
the/DT activities/NNS on/IN other/JJ agencies/NNS
of/IN standards/NNS on/IN official/JJ conduct/NN
they/PRP were/VBD on/IN only/RB after/IN
in/IN ethics/NNS on/IN a/DT bipartisan/JJ
on/IN when/WRB i/FW
manner/NN and/CC on/IN fact/NN the/DT
of/IN standards/NNS on/IN official/JJ conduct/NN
has/VBZ operated/VBN on/IN a/DT bipartisan/JJ
will/MD act/VB on/IN a/DT very/RB
of/IN terms/NNS on/IN the/DT provision/NN
official/JJ conduct/NN on/IN which/WDT either/DT
fledging/VBG democracies/NNS on/IN afghanistan/NN and/CC
threeheaded/JJ monster/NN on/IN overtaxation/NN overlitigation/NN
other/JJ side/NN on/IN the/DT aisle/NN
votes/NNS certain/JJ on/IN defeat/NN to/TO
on/IN the/DT years/NNS
and/CC women/NNS on/IN uniform/NN who/WP
the/DT rights/NNS on/IN the/DT minority/NN
medicare/NN bill/NN on/IN the/DT middle/NN
the/DT middle/NN on/IN the/DT night/NN
one/CD portion/NN on/IN the/DT package/NN
created/VBN consisting/VBG on/IN democrats/NNS and/CC
wide/JJ range/NN on/IN constitutional/JJ scholars/NNS
are/VBP doing/VBG on/IN the/DT rules/NNS
consider/VB is/VBZ on/IN fact/NN constitutional/JJ
on/IN fact/NN before/IN
to/TO act/VB on/IN precisely/RB the/DT
the/DT preservation/NN on/IN government/NN let/VBD
further/JJ examination/NN on/IN the/DT best/JJS
a/DT continuity/NN on/IN government/NN during/IN
initial/JJ stages/NNS on/IN compiling/VBG this/DT
the/DT input/NN on/IN the/DT officers/NNS
the/DT officers/NNS on/IN the/DT house/NN
sectionbysection/NN summary/NN on/IN h/NN res/VBZ
the/DT rules/NNS on/IN the/DT house/NN
the/DT rules/NNS on/IN the/DT house/NN
as/IN provided/VBN on/IN section/NN a/DT
content/JJ included/VBN on/IN each/DT standing/NN
against/IN duplication/NN on/IN such/JJ programs/NNS
the/DT chairman/NN on/IN the/DT committee/NN
following/JJ occur/VBP on/IN sequence/NN without/IN
a/DT series/NN on/IN calls/NNS on/IN
on/IN calls/NNS on/IN the/DT house/NN
the/DT contents/NNS on/IN such/JJ report/NN
the/DT contents/NNS on/IN such/JJ report/NN
or/CC series/NN on/IN calls/NNS are/VBP
a/DT total/NN on/IN hours/NNS without/IN
the/DT category/NN on/IN individuals/NNS who/WP
b/NN d/SYM on/IN the/DT house/NN
wednesdays/NNS permanent/JJ on/IN this/DT congress/NN
of/IN standards/NNS on/IN official/JJ conduct/NN
the/DT use/NN on/IN campaign/NN funds/NNS
the/DT rules/NNS on/IN the/DT house/NN
speaker/NN said/VBD on/IN his/PRP$ very/RB
the/DT formation/NN on/IN the/DT select/JJ
the/DT end/NN on/IN last/JJ year/NN
i/FW will/MD on/IN no/DT way/NN
be/VB responding/VBG on/IN a/DT manner/NN
the/DT integrity/NN on/IN this/DT institution/NN
of/IN consideration/NN on/IN measures/NNS in/IN
distinguished/JJ chairman/NN on/IN the/DT committee/NN
in/IN standards/NNS on/IN official/JJ conduct/NN
recommendations/NNS all/DT on/IN which/WDT emerged/VBD
former/JJ members/NNS on/IN the/DT committee/NN
of/IN standards/NNS on/IN official/JJ conduct/NN
distinguished/JJ chairman/NN on/IN the/DT committee/NN
the/DT administration/NN on/IN the/DT oath/NN
the/DT oath/NN on/IN office/NN to/TO
is/VBZ deserving/JJ on/IN bipartisan/JJ support/NN
both/DT sides/NNS on/IN the/DT aisle/NN
a/DT time/NN on/IN great/JJ crisis/NN
the/DT establishment/NN on/IN a/DT new/JJ
of/IN standards/NNS on/IN official/JJ conduct/NN
in/IN all/DT on/IN the/DT members/NNS
the/DT chairman/NN on/IN the/DT committee/NN
of/IN standards/NNS on/IN official/JJ conduct/NN
the/DT input/NN on/IN the/DT officers/NNS
the/DT officers/NNS on/IN the/DT house/NN
detail/NN each/DT on/IN these/DT changes/NNS
will/MD place/VB on/IN the/DT record/NN
a/DT number/NN on/IN instances/NNS where/WRB
successful/JJ experiment/NN on/IN the/DT th/NN
ranking/JJ member/NN on/IN the/DT standards/NNS
the/DT use/NN on/IN campaign/NN funds/NNS
the/DT rules/NNS on/IN the/DT house/NN
as/IN each/DT on/IN those/DT changes/NNS
the/DT enactment/NN on/IN the/DT homeland/NN
the/DT formation/NN on/IN the/DT select/JJ
the/DT recommendations/NNS on/IN the/DT commission/NN
the/DT jurisdiction/NN on/IN the/DT committee/NN
security/NN policy/NN on/IN sundry/JJ areas/NNS
sundry/JJ areas/NNS on/IN jurisdiction/NN occupied/VBN
by/IN all/DT on/IN the/DT critical/JJ
and/CC administration/NN on/IN the/DT department/NN
the/DT department/NN on/IN homeland/NN security/NN
administrative/JJ aspects/NNS on/IN the/DT department/NN
the/DT jurisdiction/NN on/IN the/DT committee/NN
inspection/NN activities/NNS on/IN the/DT department/NN
the/DT department/NN on/IN homeland/NN security/NN
under/IN section/NN on/IN the/DT homeland/NN
security/NN act/NN on/IN and/CC the/DT
military/JJ defense/NN on/IN the/DT united/VBN
to/TO section/NN on/IN the/DT homeland/NN
the/DT department/NN on/IN homeland/NN security/NN
the/DT department/NN on/IN homeland/NN security/NN
and/CC administration/NN on/IN the/DT department/NN
the/DT department/NN on/IN homeland/NN security/NN
and/CC agencies/NNS on/IN the/DT federal/JJ
the/DT office/NN on/IN the/DT director/NN
the/DT director/NN on/IN national/JJ intelligence/NN
nonborder/NN enforcemetn/NN on/IN the/DT immigration/NN
activities/NNS are/VBP on/IN the/DT jurisdiction/NN
guard/NN responsibilities/NNS on/IN that/DT area/NN
the/DT jurisdiction/NN on/IN both/DT committees/NNS
response/NN operations/NNS on/IN the/DT federal/JJ
on/IN general/JJ the/DT
