highest/JJS body/NN of/IN elected/VBN officials/NNS 
a/DT majority/NN of/IN the/DT ethics/NNS 
great/JJ danger/NN of/IN diminishing/VBG the/DT 
the/DT integrity/NN of/IN our/PRP$ great/JJ 
ethics/NNS investigation/NN of/IN a/DT member/NN 
a/DT member/NN of/IN their/PRP$ party/NN 
an/DT abuse/NN of/IN power/NN 
the/DT passage/NN of/IN a/DT provision/NN 
constitutional/JJ point/NN of/IN order/NN 
limited/JJ number/NN of/IN members/NNS potentially/RB 
the/DT house/NN of/IN representatives/NNS 
article/NN section/NN of/IN the/DT constitution/NN 
the/DT judge/NN of/IN the/DT elections/NNS 
and/CC qualifications/NNS of/IN its/PRP$ members/NNS 
a/DT majority/NN of/IN each/DT shall/MD 
the/DT attendance/NN of/IN absent/JJ members/NNS 
first/JJ act/NN of/IN the/DT very/RB 
first/JJ congress/NN of/IN the/DT united/VBN 
fundamental/JJ principle/NN of/IN that/DT constitution/NN 
on/IN matters/NNS of/IN constitutionality/NN 
the/DT question/NN of/IN consideration/NN to/TO 
the/DT oath/NN of/IN office/NN that/IN 
the/DT question/NN of/IN consideration/NN be/VB 
strong/JJ support/NN of/IN this/DT balanced/JJ 
regarding/VBG governance/NN of/IN the/DT department/NN 
the/DT department/NN of/IN homeland/NN security/NN 
the/DT department/NN of/IN homeland/NN security/NN 
all/DT aspects/NNS of/IN homeland/NN security/NN 
every/DT activity/NN of/IN every/DT federal/JJ 
every/DT activity/NN of/IN the/DT department/NN 
the/DT department/NN of/IN homeland/NN security/NN 
the/DT activities/NNS of/IN other/JJ agencies/NNS 
take/VB account/NN of/IN that/DT basic/JJ 
the/DT department/NN of/IN homeland/NN security/NN 
the/DT context/NN of/IN the/DT other/JJ 
other/JJ activities/NNS of/IN the/DT federal/JJ 
a/DT captive/NN of/IN the/DT agency/NN 
the/DT department/NN of/IN homeland/NN security/NN 
a/DT lot/NN of/IN different/JJ committees/NNS 
a/DT lot/NN of/IN different/JJ news/NN 
a/DT variety/NN of/IN areas/NNS of/IN 
of/IN areas/NNS of/IN expertise/NN and/CC 
a/DT variety/NN of/IN perspectives/NNS 
strong/JJ support/NN of/IN this/DT rules/NNS 
the/DT chairman/NN of/IN the/DT committee/NN 
on/IN standards/NNS of/IN official/JJ conduct/NN 
process/NN changes/NNS of/IN this/DT magnitude/NN 
a/DT resolution/NN of/IN preliminary/JJ inquiry/NN 
any/DT matter/NN of/IN guilt/NN or/CC 
bipartisan/JJ agreement/NN of/IN the/DT committee/NN 
on/IN standards/NNS of/IN official/JJ conduct/NN 
manner/NN because/IN of/IN the/DT way/NN 
on/IN standards/NNS of/IN official/JJ conduct/NN 
a/DT lot/NN of/IN effort/NN to/TO 
on/IN standards/NNS of/IN official/JJ conduct/NN 
in/IN terms/NNS of/IN the/DT provision/NN 
the/DT behavior/NN of/IN an/DT individual/JJ 
the/DT confidence/NN of/IN the/DT american/JJ 
the/DT integrity/NN of/IN this/DT institution/NN 
on/IN standards/NNS of/IN official/JJ conduct/NN 
the/DT confidence/NN of/IN the/DT people/NNS 
the/DT purposes/NNS of/IN debate/NN only/RB 
during/IN consideration/NN of/IN the/DT resolution/NN 
the/DT purpose/NN of/IN debate/NN only/RB 
in/IN support/NN of/IN this/DT rules/NNS 
in/IN support/NN of/IN the/DT historic/JJ 
the/DT beginning/NN of/IN what/WP historians/NNS 
both/DT houses/NNS of/IN congress/NN and/CC 
the/DT state/NN of/IN their/PRP$ security/NN 
the/DT course/NN of/IN the/DT next/JJ 
on/IN behalf/NN of/IN the/DT nation/NN 
everexpanding/VBG coalition/NN of/IN the/DT willing/JJ 
opportunity/NN society/NN of/IN economic/JJ choice/NN 
by/IN years/NNS of/IN liberal/JJ policies/NNS 
threeheaded/JJ monster/NN of/IN overtaxation/NN overlitigation/NN 
every/DT sector/NN of/IN our/PRP$ economy/NN 
the/DT institution/NN of/IN marriage/NN to/TO 
the/DT role/NN of/IN family/NN and/CC 
the/DT substance/NN of/IN the/DT rules/NNS 
the/DT first/JJ of/IN what/WP i/FW 
the/DT integrity/NN of/IN the/DT majority/NN 
the/DT integrity/NN of/IN this/DT institution/NN 
